ipm_region,state,Population of state in Zone,Zone Population,State Population,Zone Prop,state_prop,region,dg_region,frac_dg_in_region
MIS_INKY,Michigan,56.13411508,5700589.677,9986857,9.85E-06,5.62E-06,MIS_INKY,Michigan,5.62E-06
MIS_LA,Arkansas,74.11430871,2198519.292,3017804,3.37E-05,2.46E-05,MIS_LA,Arkansas,2.46E-05
MIS_LA,Louisiana,2197646.461,2198519.292,4648794,0.999602991,0.472734748,MIS_LA,Louisiana,0.472734748
MIS_LA,Mississippi,634.4801362,2198519.292,2976149,0.000288594,0.000213188,MIS_LA,Mississippi,0.000213188
MIS_LA,Texas,164.2369392,2198519.292,28995881,7.47E-05,5.66E-06,MIS_LA,Texas,5.66E-06
MIS_LMI,Michigan,9416475.251,9416475.251,9986857,1,0.942886761,MIS_LMI,Michigan,0.942886761
MIS_MAPP,Minnesota,236.965681,594647.9027,5639632,0.000398497,4.20E-05,MIS_MAPP,Minnesota,4.20E-05
MIS_MAPP,Montana,61221.22342,594647.9027,1068778,0.102953736,0.057281515,MIS_MAPP,Montana,0.057281515
MIS_MAPP,North Dakota,521166.63,594647.9027,762062,0.876428938,0.683890064,MIS_MAPP,North Dakota,0.683890064
MIS_MAPP,South Dakota,11983.58261,594647.9027,884659,0.0201524,0.013545991,MIS_MAPP,South Dakota,0.013545991
MIS_MAPP,Wyoming,39.50095077,594647.9027,578759,6.64E-05,6.83E-05,MIS_MAPP,Wyoming,6.83E-05
MIS_MIDA,Illinois,566.0053242,1911805.784,12671821,0.000296058,4.47E-05,MIS_MIDA,Illinois,4.47E-05
MIS_MIDA,Iowa,1908920.875,1911805.784,3155070,0.998491003,0.605032812,MIS_MIDA,Iowa,0.605032812
MIS_MIDA,Nebraska,2065.975027,1911805.784,1934408,0.001080641,0.001068014,MIS_MIDA,Nebraska,0.001068014
MIS_MIDA,South Dakota,252.9284484,1911805.784,884659,0.000132298,0.000285905,MIS_MIDA,South Dakota,0.000285905
MIS_MNWI,Iowa,45.38218122,6600616.941,3155070,6.88E-06,1.44E-05,MIS_MNWI,Iowa,1.44E-05
